Studio,Start time,Classes,Instructor,Sign up
Gibney,10:00:00,Contemp Floorwork,Shannon Gillen,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12953&classDate=9/27/2023&clsLoc=1
Gibney,10:00:00,Contemp Playground,Shane Larson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12952&classDate=9/27/2023&clsLoc=1
Gibney,10:00:00,Pro Ballez,Katy Pyle,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12879&classDate=9/27/2023&clsLoc=1
Gibney,10:30:00,Bartenieff Fundamentals At 280,Meredith Fages,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12845&classDate=9/27/2023&clsLoc=1
Gibney,12:00:00,Simonson Jazz,Leann Gioia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12907&classDate=9/27/2023&clsLoc=1
Gibney,12:30:00,Movement Research At 280,Tasha Taylor,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12846&classDate=9/27/2023&clsLoc=1
Gibney,14:00:00,Movement Research At 280,Alice MacDonald,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12938&classDate=9/27/2023&clsLoc=1
Gibney,14:00:00,Contemp Floorwork,Dual Rivet,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12878&classDate=9/27/2023&clsLoc=1
Gibney,18:00:00,Adult Open Contemp,Leah Wilks,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12840&classDate=9/27/2023&clsLoc=1
Gibney,18:30:00,Absolute Beg Ballet,Kat Wildish,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12583&classDate=9/27/2023&clsLoc=1
Gibney,18:30:00,Int/Adv Contemp/Simonson,Laurie DeVito,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12582&classDate=9/27/2023&clsLoc=1
